time, Susceptible, Exposed, Infected, Hospitalized, Recovered, Death
50,113940436.87827,7709075.754934244,9070693.660946518,9746272.754583774,45925251.71417166,19747858.23709381
51,112812426.55317512,7632542.993320641,8979423.367519777,9648369.130813511,46899878.98963004,20166947.965540912
52,111695583.5302987,7556801.1734907245,8889233.443437587,9551427.111895718,47864715.90271139,20581827.838165894
53,110589797.25334874,7481837.267082756,8800093.134875858,9455463.526814286,48819858.61390096,20992539.20397741
54,109494958.26054059,7407639.186909229,8711974.045732416,9360488.404604966,49765404.96658239,21399124.135630425
55,108410958.17376123,7334195.650734013,8624849.947868066,9266506.283565372,50701453.80704288,21801625.137028437
56,107337689.687841,7261496.06622706,8538696.597171247,9173517.306139532,51628104.43539942,22200084.90722175
57,106275046.55993137,7189530.4337887075,8453491.557923332,9081518.130957471,52545456.166013375,22594546.15138575
58,105222923.59898804,7118289.264452542,8369214.037070913,8990502.689362457,53453607.97910912,22985051.431016922
59,104181216.65535806,7047763.510511814,8285844.729345778,8900462.81007947,54352658.24804537,23371643.046659507
60,103149822.61047001,6977944.506882387,8203365.673670995,8811388.73243036,55242704.529053316,23754362.947492924
61,102128639.36662635,6908823.921525667,8121760.120918369,8723269.525645817,56123843.40229635,24133252.66298743
62,101117565.83689675,6840393.713516883,8041012.412811274,8636093.429323945,56996170.35486093,24508353.252590198
63,100116501.93511146,6772646.097565148,7961107.8715752475,8549848.12790366,57859779.69779333,24879705.27005113
64,99125348.56595387,6705573.513978197,7882032.699809052,8464520.970124187,58714764.51058369,25247348.739550985
65,98144007.61515093,6639168.603222047,7803773.889966852,8380099.142797722,59561216.60759611,25611323.141266324
66,97172381.93976094,6573424.184358596,7726319.142796461,8296569.806801483,60399226.52187588,25971667.404406626
67,96210375.3585573,6508333.236756198,7649656.79406014,8213920.201971223,61228883.502556026,26328419.90609909
68,95257892.64250758,6443888.88456276,7573775.748866133,8132137.726526501,62050275.52275315,26681618.474783853
69,94314839.50534676,6380084.383510653,7498665.422955331,8051209.995756945,62863489.2954058,27031300.397024494
70,93381122.59424382,6316913.109690046,7424315.6903138235,7971124.883928749,63668610.294981495,27377502.42684204
71,92456649.48056081,6254368.54998399,7350716.836515204,7891870.552714626,64465722.78337437,27720260.79685098
72,91541328.65070325,6192444.293906543,7277859.517233745,7813435.468892892,65254909.83864583,28059611.23061771
73,90635069.49706128,6131134.026625608,7205734.721408965,7735808.413588886,66036253.38553512,28395588.955780104
