time, Susceptible, Socially_distanced, Exposed, Infectious, J, Q, Recovered, R0
40,0.0001107370012934167,185206049.11002237,16655.82215751513,27548.620277213373,19977.792032383153,4461659.116960228,150078850.398462,2.2737367544323206e-12
41,5.52361256353622e-05,185206049.11007774,14053.349945535765,23263.937420021768,16876.05108549492,4236823.848925882,150313674.5625679,1.1368683772161603e-12
42,2.7552033553096587e-05,185206049.11010537,11857.51401661183,19643.78899400629,14254.009897752901,4022271.1455777935,150536665.29148635,5.684341886080801e-13
43,1.3743081075638921e-05,185206049.11011913,10004.777451549167,16585.578310600315,12037.952197378023,3817699.6691804705,150748363.77284634,2.8421709430404007e-13
44,6.8551120587016416e-06,185206049.11012602,8441.530974761039,14002.430209754793,10165.370676339091,3622787.0837433455,150949295.33438903,1.4210854715202004e-13
45,3.4193614283958487e-06,185206049.11012945,7122.541759962822,11820.811872122507,8583.292890608243,3437196.7646739706,151139968.3388,7.105427357601002e-14
46,1.70559320954642e-06,185206049.11013114,6009.644609972718,9978.506054086072,7246.8494133347485,3260583.3182416973,151320873.4316793,3.552713678800501e-14
47,8.507577386505182e-07,185206049.110132,5070.63763966652,8422.886510872791,6118.051220188892,3092597.0946198544,151492483.0800087,1.7763568394002505e-14
48,4.243618735244763e-07,185206049.11013243,4278.3505084696435,7109.452014352488,5164.747237812644,2932887.8520920617,151655251.348147,8.881784197001252e-15
49,2.1167365457862698e-07,185206049.11013263,3609.858241521769,6000.581277712748,4359.7366224944435,2781107.7071798067,151809613.8666784,4.440892098500626e-15
50,1.055837926026302e-07,185206049.11013275,3045.8178912842454,5064.476308522337,3680.0136306754084,2636913.485639485,151955987.95653006,2.220446049250313e-15
51,5.266568143563791e-08,185206049.1101328,2569.9088457712082,4274.266276904916,3106.1258924682884,2499968.572158008,152094772.87682694,1.1102230246251565e-15
52,2.6269884162230793e-08,185206049.11013284,2168.36058861952,3607.247964830438,2621.629515460373,2369944.3418327677,152226350.17009845,5.551115123125783e-16
53,1.3103539061587866e-08,185206049.11013284,1829.5542466477514,3044.2423155946285,2212.626748937796,2246521.2438624576,152351084.0828265,2.7755575615628914e-16
54,6.536105560199711e-09,185206049.11013284,1543.686395609056,2569.0495877346825,1867.3739533675553,2129389.5970336394,152469322.0430298,1.3877787807814457e-16
55,3.260239519513193e-09,185206049.11013284,1302.4853962951488,2167.988190114927,1575.9493736174481,2018250.1473243423,152581395.17971578,6.938893903907228e-17
56,1.6262224694349703e-09,185206049.11013284,1098.9720531240357,1829.5044857573123,1329.971734337456,1912814.430046712,152687618.87168023,3.469446951953614e-17
57,8.111672483775226e-10,185206049.11013284,927.257669823407,1543.8427476186148,1122.361988608056,1812804.9722272118,152788293.3153669,1.734723475976807e-17
58,4.046139548600508e-10,185206049.11013284,782.3736589135007,1302.7660716238684,947.1416812086817,1717955.3652095573,152883704.10337886,8.673617379884035e-18
59,2.018233019083857e-10,185206049.11013284,660.1277747082667,1099.3204379231356,799.2623585103079,1628010.2326180798,152974122.80681095,4.336808689942018e-18
60,1.0067039137909156e-10,185206049.11013284,556.9828099101003,927.6352932405184,674.4612887359378,1542725.114712173,153059807.5558961,2.168404344971009e-18
