time, Susceptible, Socially_distanced, Exposed, Infectious, J, Q, Recovered, R0
4076,5e-324,185206049.11013284,2.6327263584977635e-294,4.38787726416294e-294,3.1911834648457745e-294,7.746816600399944e-89,154604691.75000018,5e-324
4077,5e-324,185206049.11013284,2.2213628649824877e-294,3.70227144163748e-294,2.6925610484636222e-294,7.33908941090521e-89,154604691.75000018,5e-324
4078,5e-324,185206049.11013284,1.874274917328974e-294,3.123791528881624e-294,2.2718483846411813e-294,6.952821547173357e-89,154604691.75000018,5e-324
4079,5e-324,185206049.11013284,1.5814194614963217e-294,2.63569910249387e-294,1.9168720745409966e-294,6.586883571006339e-89,154604691.75000018,5e-324
4080,5e-324,185206049.11013284,1.3343226706375215e-294,2.2238711177292025e-294,1.6173608128939658e-294,6.240205488321795e-89,154604691.75000018,5e-324
4081,5e-324,185206049.11013284,1.1258347533504087e-294,1.8763912555840147e-294,1.3646481858792835e-294,5.911773620515385e-89,154604691.75000018,5e-324
4082,5e-324,185206049.11013284,9.499230731394074e-295,1.5832051218990124e-294,1.1514219068356454e-294,5.6006276404882596e-89,154604691.75000018,5e-324
4083,5e-324,185206049.11013284,8.01497592961375e-295,1.3358293216022916e-294,9.715122338925759e-295,5.305857764673088e-89,154604691.75000018,5e-324
4084,5e-324,185206049.11013284,6.762635940611601e-295,1.1271059901019336e-294,8.19713447346861e-295,5.026602092848189e-89,154604691.75000018,5e-324
4085,5e-324,185206049.11013284,5.705974074891039e-295,9.509956791485064e-295,6.916332211989139e-295,4.7620440879614424e-89,154604691.75000018,5e-324
4086,5e-324,185206049.11013284,4.814415625689314e-295,8.024026042815522e-295,5.835655303865836e-295,4.5114101885950506e-89,154604691.75000018,5e-324
4087,5e-324,185206049.11013284,4.062163184175359e-295,6.770271973625597e-295,4.9238341626367985e-295,4.273967547090048e-89,154604691.75000018,5e-324
4088,5e-324,185206049.11013284,3.4274501866479586e-295,5.712416977746597e-295,4.154485074724798e-295,4.0490218867168875e-89,154604691.75000018,5e-324
4089,5e-324,185206049.11013284,2.891911094984215e-295,4.819851824973691e-295,3.5053467817990484e-295,3.835915471626525e-89,154604691.75000018,5e-324
4090,5e-324,185206049.11013284,2.4400499863929314e-295,4.066749977321552e-295,2.9576363471429468e-295,3.6340251836461814e-89,154604691.75000018,5e-324
4091,5e-324,185206049.11013284,2.058792176019036e-295,3.4313202933650597e-295,2.4955056679018616e-295,3.442760700296382e-89,154604691.75000018,5e-324
4092,5e-324,185206049.11013284,1.7371058985160615e-295,2.895176497526769e-295,2.1055829072921957e-295,3.261562768701836e-89,154604691.75000018,5e-324
4093,5e-324,185206049.11013284,1.4656831018729268e-295,2.4428051697882117e-295,1.7765855780277903e-295,3.0899015703491077e-89,154604691.75000018,5e-324
4094,5e-324,185206049.11013284,1.236670117205282e-295,2.061116862008804e-295,1.498994081460948e-295,2.927275171909681e-89,154604691.75000018,5e-324
4095,5e-324,185206049.11013284,1.0434404113919567e-295,1.7390673523199283e-295,1.264776256232675e-295,2.773208057598645e-89,154604691.75000018,5e-324
4096,5e-324,185206049.11013284,8.804028471119635e-296,1.4673380785199395e-295,1.0671549661963197e-295,2.6272497387776638e-89,154604691.75000018,5e-324
4097,5e-324,185206049.11013284,7.428399022507192e-296,1.2380665037511989e-295,9.004120027281447e-296,2.488973436736734e-89,154604691.75000018,5e-324
4098,5e-324,185206049.11013284,6.267711675240444e-296,1.044618612540074e-295,7.597226273018721e-296,2.3579748348032217e-89,154604691.75000018,5e-324
4099,5e-324,185206049.11013284,5.288381725984124e-296,8.813969543306875e-296,6.410159667859546e-296,2.233870896129368e-89,154604691.75000018,5e-324
4100,5e-324,185206049.11013284,4.462072081299104e-296,7.436786802165175e-296,5.408572219756491e-296,2.1162987437015067e-89,154604691.75000018,5e-324
4101,5e-324,185206049.11013284,3.764873318596119e-296,6.274788864326867e-296,4.5634828104195395e-296,2.0049145992961643e-89,154604691.75000018,5e-324
4102,5e-324,185206049.11013284,3.176611862565475e-296,5.294353104275794e-296,3.8504386212914864e-296,1.8993927782805766e-89,154604691.75000018,5e-324
4103,5e-324,185206049.11013284,2.6802662590396197e-296,4.467110431732701e-296,3.2488075867146917e-296,1.799424737318441e-89,154604691.75000018,5e-324
4104,5e-324,185206049.11013284,2.2614746560646792e-296,3.7691244267744666e-296,2.741181401290521e-296,1.704718172196418e-89,154604691.75000018,5e-324
4105,5e-324,185206049.11013284,1.908119241054573e-296,3.180198735090956e-296,2.312871807338877e-296,1.6149961631334485e-89,154604691.75000018,5e-324
4106,5e-324,185206049.11013284,1.6099756096397962e-296,2.683292682732994e-296,1.9514855874421775e-296,1.5299963650737933e-89,154604691.75000018,5e-324
4107,5e-324,185206049.11013284,1.358416920633578e-296,2.2640282010559636e-296,1.6465659644043372e-296,1.4494702405962253e-89,154604691.75000018,5e-324
4108,5e-324,185206049.11013284,1.1461642767845814e-296,1.9102737946409693e-296,1.3892900324661596e-296,1.373182333196424e-89,154604691.75000018,5e-324
4109,5e-324,185206049.11013284,9.670761085369905e-297,1.6117935142283179e-296,1.1722134648933221e-296,1.3009095788176649e-89,154604691.75000018,5e-324
4110,5e-324,185206049.11013284,8.159704665780858e-297,1.3599507776301432e-296,9.890551110037405e-297,1.2324406536167352e-89,154604691.75000018,5e-324
4111,5e-324,185206049.11013284,6.8847508117526e-297,1.1474584686254333e-296,8.345152499094061e-297,1.1675753560579596e-89,154604691.75000018,5e-324
4112,5e-324,185206049.11013284,5.809008497416256e-297,9.681680829027094e-297,7.041222421110614e-297,1.1061240215285933e-89,154604691.75000018,5e-324
4113,5e-324,185206049.11013284,4.901350919694966e-297,8.16891819949161e-297,5.9410314178120804e-297,1.0479069677639306e-89,154604691.75000018,5e-324
4114,5e-324,185206049.11013284,4.135514838492628e-297,6.892524730821047e-297,5.012745258778943e-297,9.927539694605657e-90,154604691.75000018,5e-324
4115,5e-324,185206049.11013284,3.4893406449781545e-297,5.815567741630258e-297,4.2295038120947334e-297,9.405037605415887e-90,154604691.75000018,5e-324
4116,5e-324,185206049.11013284,2.944131169200318e-297,4.90688528200053e-297,3.5686438414549314e-297,8.910035626183472e-90,154604691.75000018,5e-324
4117,5e-324,185206049.11013284,2.4841106740127683e-297,4.140184456687947e-297,3.0110432412275982e-297,8.441086382700132e-90,154604691.75000018,5e-324
4118,5e-324,185206049.11013284,2.0959683811982733e-297,3.4932806353304555e-297,2.5405677347857857e-297,7.996818678347493e-90,154604691.75000018,5e-324
4119,5e-324,185206049.11013284,1.768473321636043e-297,2.9474555360600716e-297,2.143604026225507e-297,7.575933484750256e-90,154604691.75000018,5e-324
4120,5e-324,185206049.11013284,1.4921493651304114e-297,2.4869156085506855e-297,1.8086658971277715e-297,7.177200143447611e-90,154604691.75000018,5e-324
4121,5e-324,185206049.11013284,1.2590010268287846e-297,2.0983350447146407e-297,1.5260618507015571e-297,6.799452767476684e-90,154604691.75000018,5e-324
4122,5e-324,185206049.11013284,1.062282116386787e-297,1.770470193977978e-297,1.2876146865294387e-297,6.441586832346332e-90,154604691.75000018,5e-324
4123,5e-324,185206049.11013284,8.963005357013515e-298,1.493834226168919e-297,1.0864248917592139e-297,6.102555946433368e-90,154604691.75000018,5e-324
4124,5e-324,185206049.11013284,7.5625357699801535e-298,1.2604226283300255e-297,9.166710024218367e-298,5.781368791357928e-90,154604691.75000018,5e-324
4125,5e-324,185206049.11013284,6.380889555920754e-298,1.063481592653459e-297,7.734411582934246e-298,5.477086223391721e-90,154604691.75000018,5e-324
4126,5e-324,185206049.11013284,5.383875562808137e-298,8.973125938013561e-298,6.525909773100771e-298,5.188818527423736e-90,154604691.75000018,5e-324
4127,5e-324,185206049.11013284,4.542645006119365e-298,7.5710750101989424e-298,5.506236371053776e-298,4.915722815454066e-90,154604691.75000018,5e-324
4128,5e-324,185206049.11013284,3.832856723913215e-298,6.388094539855358e-298,4.645886938076624e-298,4.657000562009115e-90,154604691.75000018,5e-324
4129,5e-324,185206049.11013284,3.233972860801775e-298,5.389954768002958e-298,3.919967104002151e-298,4.411895269271793e-90,154604691.75000018,5e-324
4130,5e-324,185206049.11013284,2.7286646013014976e-298,4.547774335502496e-298,3.307472244001815e-298,4.179690255099594e-90,154604691.75000018,5e-324
4131,5e-324,185206049.11013284,2.3023107573481387e-298,3.837184595580231e-298,2.7906797058765315e-298,3.959706557462774e-90,154604691.75000018,5e-324
4132,5e-324,185206049.11013284,1.942574701512492e-298,3.2376245025208196e-298,2.3546360018333234e-298,3.7513009491752594e-90,154604691.75000018,5e-324
4133,5e-324,185206049.11013284,1.639047404401165e-298,2.7317456740019417e-298,1.986724126546867e-298,3.5538640571134038e-90,154604691.75000018,5e-324
4134,5e-324,185206049.11013284,1.382946247463483e-298,2.3049104124391383e-298,1.676298481773919e-298,3.3668185804232246e-90,154604691.75000018,5e-324
4135,5e-324,185206049.11013284,1.166860896297314e-298,1.944768160495523e-298,1.414376843996744e-298,3.1896176025062128e-90,154604691.75000018,5e-324
4136,5e-324,185206049.11013284,9.845388812508587e-299,1.6408981354180976e-298,1.1933804621222527e-298,3.021742991847991e-90,154604691.75000018,5e-324
4137,5e-324,185206049.11013284,8.30704681055412e-299,1.38450780175902e-298,1.0069147649156507e-298,2.862703887013886e-90,154604691.75000018,5e-324
4138,5e-324,185206049.11013284,7.009070746405039e-299,1.1681784577341732e-298,8.495843328975804e-299,2.7120352613815763e-90,154604691.75000018,5e-324
4139,5e-324,185206049.11013284,5.913903442279252e-299,9.856505737132087e-299,7.168367808823335e-299,2.5692965634141247e-90,154604691.75000018,5e-324
4140,5e-324,185206049.11013284,4.98985602942312e-299,8.316426715705198e-299,6.048310338694689e-299,2.4340704284975918e-90,154604691.75000018,5e-324
4141,5e-324,185206049.11013284,4.2101910248257574e-299,7.016985041376261e-299,5.103261848273644e-299,2.305961458576666e-90,154604691.75000018,5e-324
4142,5e-324,185206049.11013284,3.552348677196733e-299,5.920581128661219e-299,4.305877184480887e-299,2.184595066019999e-90,154604691.75000018,5e-324
4143,5e-324,185206049.11013284,2.9972941963847434e-299,4.995490327307905e-299,3.6330838744057483e-299,2.069616378334736e-90,154604691.75000018,5e-324
4144,5e-324,185206049.11013284,2.528966978199627e-299,4.2149449636660446e-299,3.06541451902985e-299,1.9606892005276445e-90,154604691.75000018,5e-324
4145,5e-324,185206049.11013284,2.1338158878559354e-299,3.556359813093225e-299,2.5864435004314364e-299,1.8574950320788212e-90,154604691.75000018,5e-324
4146,5e-324,185206049.11013284,1.8004071553784455e-299,3.0006785922974086e-299,2.1823117034890245e-299,1.7597321356536201e-90,154604691.75000018,5e-324
4147,5e-324,185206049.11013284,1.5190935373505634e-299,2.531822562250939e-299,1.8413254998188643e-299,1.6671146548297455e-90,154604691.75000018,5e-324
4148,5e-324,185206049.11013284,1.2817351721395378e-299,2.1362252868992295e-299,1.5536183904721667e-299,1.5793717782597588e-90,154604691.75000018,5e-324
4149,5e-324,185206049.11013284,1.081464051492735e-299,1.802440085821225e-299,1.3108655169608908e-299,1.4962469478250348e-90,154604691.75000018,5e-324
4150,5e-324,185206049.11013284,9.124852934469953e-300,1.5208088224116586e-299,1.1060427799357517e-299,1.4174971084658224e-90,154604691.75000018,5e-324
4151,5e-324,185206049.11013284,7.699094663459022e-300,1.283182443909837e-299,9.332235955707905e-300,1.342891997493937e-90,154604691.75000018,5e-324
4152,5e-324,185206049.11013284,6.49611112229355e-300,1.0826851870489249e-299,7.874074087628545e-300,1.2722134713100455e-90,154604691.75000018,5e-324
4153,5e-324,185206049.11013284,5.4810937594351826e-300,9.135156265725303e-300,6.643750011436584e-300,1.2052548675568854e-90,154604691.75000018,5e-324
4154,5e-324,185206049.11013284,4.624672859523435e-300,7.707788099205724e-300,5.6056640721496176e-300,1.141820400843365e-90,154604691.75000018,5e-324
4155,5e-324,185206049.11013284,3.902067725222898e-300,6.50344620870483e-300,4.72977906087624e-300,1.0817245902726616e-90,154604691.75000018,5e-324
4156,5e-324,185206049.11013284,3.2923696431568206e-300,5.4872827385947e-300,3.9907510826143274e-300,1.0247917171004162e-90,154604691.75000018,5e-324
4157,5e-324,185206049.11013284,2.7779368864135673e-300,4.6298948106892785e-300,3.3671962259558385e-300,9.708553109372364e-91,154604691.75000018,5e-324
4158,5e-324,185206049.11013284,2.3438842479114476e-300,3.906473746519079e-300,2.841071815650239e-300,9.197576629931713e-91,154604691.75000018,5e-324
4159,5e-324,185206049.11013284,1.977652334175284e-300,3.2960872236254725e-300,2.397154344454889e-300,8.713493649408992e-91,154604691.75000018,5e-324
4160,5e-324,185206049.11013284,1.6686441569603957e-300,2.7810735949339926e-300,2.0225989781338127e-300,8.25488872049273e-91,154604691.75000018,5e-324
4161,5e-324,185206049.11013284,1.407918507435334e-300,2.3465308457255564e-300,1.7065678878004045e-300,7.820420893098375e-91,154604691.75000018,5e-324
4162,5e-324,185206049.11013284,1.187931240648563e-300,1.9798854010809382e-300,1.4399166553315913e-300,7.408819793461619e-91,154604691.75000018,5e-324
4163,5e-324,185206049.11013284,1.002316984297225e-300,1.6705283071620416e-300,1.2149296779360302e-300,7.018881909595218e-91,154604691.75000018,5e-324
4164,5e-324,185206049.11013284,8.457049555007836e-301,1.4095082591679725e-300,1.0250969157585256e-300,6.649467072248101e-91,154604691.75000018,5e-324
4165,5e-324,185206049.11013284,7.135635562037861e-301,1.1892725936729768e-300,8.64925522671256e-301,6.299495121077148e-91,154604691.75000018,5e-324
4166,5e-324,185206049.11013284,6.020692505469445e-301,1.0034487509115742e-300,7.297809097538722e-301,5.967942746283614e-91,154604691.75000018,5e-324
4167,5e-324,185206049.11013284,5.079959301489844e-301,8.466598835816407e-301,6.157526426048296e-301,5.653840496479214e-91,154604691.75000018,5e-324
4168,5e-324,185206049.11013284,4.286215660632056e-301,7.143692767720093e-301,5.19541292197825e-301,5.35626994403294e-91,154604691.75000018,5e-324
4169,5e-324,185206049.11013284,3.616494463658297e-301,6.027490772763828e-301,4.383629652919149e-301,5.074360999610153e-91,154604691.75000018,5e-324
4170,5e-324,185206049.11013284,3.051417203711688e-301,5.08569533951948e-301,3.6986875196505316e-301,4.807289368051724e-91,154604691.75000018,5e-324
4171,5e-324,185206049.11013284,2.574633265631737e-301,4.291055442719561e-301,3.1207675947051356e-301,4.554274138154265e-91,154604691.75000018,5e-324
4172,5e-324,185206049.11013284,2.172346817876778e-301,3.62057802979463e-301,2.633147658032458e-301,4.3145754993040405e-91,154604691.75000018,5e-324
4173,5e-324,185206049.11013284,1.8329176275835313e-301,3.054862712639219e-301,2.2217183364648864e-301,4.0874925782880384e-91,154604691.75000018,5e-324
4174,5e-324,185206049.11013284,1.5465242482736046e-301,2.577540413789341e-301,1.8745748463922482e-301,3.872361389957089e-91,154604691.75000018,5e-324
4175,5e-324,185206049.11013284,1.3048798344808539e-301,2.1747997241347566e-301,1.5816725266434594e-301,3.6685528957488215e-91,154604691.75000018,5e-324
4176,5e-324,185206049.11013284,1.1009923603432204e-301,1.8349872672387008e-301,1.3345361943554188e-301,3.4754711643936206e-91,154604691.75000018,5e-324
4177,5e-324,185206049.11013284,9.289623040395922e-302,1.5482705067326537e-301,1.1260149139873847e-301,3.2925516294255353e-91,154604691.75000018,5e-324
4178,5e-324,185206049.11013284,7.83811944033406e-302,1.3063532400556765e-301,9.500750836768557e-302,3.1192594384031387e-91,154604691.75000018,5e-324
4179,5e-324,185206049.11013284,6.613413277781863e-302,1.102235546296977e-301,8.01625851852347e-302,2.9550878890135e-91,154604691.75000018,5e-324
4180,5e-324,185206049.11013284,5.580067453128447e-302,9.300112421880744e-302,6.763718125004177e-302,2.7995569474864735e-91,154604691.75000018,5e-324
4181,5e-324,185206049.11013284,4.708181913577127e-302,7.846969855961878e-302,5.706887167972275e-302,2.6522118449871854e-91,154604691.75000018,5e-324
4182,5e-324,185206049.11013284,3.972528489580701e-302,6.620880815967834e-302,4.815186047976607e-302,2.512621747882597e-91,154604691.75000018,5e-324
4183,5e-324,185206049.11013284,3.3518209130837163e-302,5.586368188472861e-302,4.062813227980262e-302,2.380378497994039e-91,154604691.75000018,5e-324
4184,5e-324,185206049.11013284,2.8280988954143856e-302,4.713498159023976e-302,3.427998661108346e-302,2.2550954191522476e-91,154604691.75000018,5e-324
4185,5e-324,185206049.11013284,2.386208443005888e-302,3.97701407167648e-302,2.892373870310167e-302,2.136406186565287e-91,154604691.75000018,5e-324
4186,5e-324,185206049.11013284,2.013363373786218e-302,3.3556056229770303e-302,2.4404404530742035e-302,2.02396375569343e-91,154604691.75000018,5e-324
4187,5e-324,185206049.11013284,1.6987753466321214e-302,2.8312922443868695e-302,2.0591216322813593e-302,1.9174393474990388e-91,154604691.75000018,5e-324
4188,5e-324,185206049.11013284,1.4333416987208523e-302,2.388902831201421e-302,1.737383877237397e-302,1.8165214871043527e-91,154604691.75000018,5e-324
4189,5e-324,185206049.11013284,1.2093820582957191e-302,2.015636763826199e-302,1.4659176464190537e-302,1.720915093046229e-91,154604691.75000018,5e-324
4190,5e-324,185206049.11013284,1.020416111687013e-302,1.7006935194783553e-302,1.2368680141660765e-302,1.6303406144648484e-91,154604691.75000018,5e-324
4191,5e-324,185206049.11013284,8.609760942359172e-303,1.4349601570598624e-302,1.0436073869526271e-302,1.5445332137035405e-91,154604691.75000018,5e-324
4192,5e-324,185206049.11013284,7.264485795115552e-303,1.2107476325192587e-302,8.805437327412792e-303,1.46324199192967e-91,154604691.75000018,5e-324
4193,5e-324,185206049.11013284,6.129409889628747e-303,1.0215683149381246e-302,7.429587745004543e-303,1.3862292555123192e-91,154604691.75000018,5e-324
4194,5e-324,185206049.11013284,5.1716895943742554e-303,8.619482657290427e-303,6.268714659847583e-303,1.313269821011671e-91,154604691.75000018,5e-324
4195,5e-324,185206049.11013284,4.3636130952532776e-303,7.272688492088797e-303,5.2892279942463983e-303,1.2441503567478987e-91,154604691.75000018,5e-324
4196,5e-324,185206049.11013284,3.681798549119953e-303,6.136330915199922e-303,4.4627861201453985e-303,1.1786687590243251e-91,154604691.75000018,5e-324
4197,5e-324,185206049.11013284,3.10651752581996e-303,5.177529209699934e-303,3.7654757888726795e-303,1.1166335611809395e-91,154604691.75000018,5e-324
4198,5e-324,185206049.11013284,2.6211241624105913e-303,4.3685402706843197e-303,3.177120196861323e-303,1.0578633737503638e-91,154604691.75000018,5e-324
4199,5e-324,185206049.11013284,2.2115735120339363e-303,3.6859558533898944e-303,2.6806951661017415e-303,1.0021863540792921e-91,154604691.75000018,5e-324
4200,5e-324,185206049.11013284,1.8660151507786338e-303,3.110025251297723e-303,2.2618365463983442e-303,9.494397038645925e-92,154604691.75000018,5e-324
4201,5e-324,185206049.11013284,1.5744502834694724e-303,2.624083805782454e-303,1.908424586023603e-303,8.99469193134877e-92,154604691.75000018,5e-324
4202,5e-324,185206049.11013284,1.3284424266773672e-303,2.2140707111289456e-303,1.610233244457415e-303,8.521287092856731e-92,154604691.75000018,5e-324
4203,5e-324,185206049.11013284,1.1208732975090287e-303,1.868122162515048e-303,1.358634300010944e-303,8.07279829849585e-92,154604691.75000018,5e-324
4204,5e-324,185206049.11013284,9.457368447732429e-304,1.5762280746220716e-303,1.146347690634234e-303,7.647914177522384e-92,154604691.75000018,5e-324
4205,5e-324,185206049.11013284,7.979654627774236e-304,1.329942437962373e-303,9.67230863972635e-304,7.245392378705416e-92,154604691.75000018,5e-324
4206,5e-324,185206049.11013284,6.732833592184512e-304,1.1221389320307521e-303,8.161010414769107e-304,6.864055937720921e-92,154604691.75000018,5e-324
4207,5e-324,185206049.11013284,5.680828343405682e-304,9.468047239009472e-304,6.8858525374614335e-304,6.50278983573561e-92,154604691.75000018,5e-324
4208,5e-324,185206049.11013284,4.793198914748544e-304,7.988664857914242e-304,5.809938078483085e-304,6.160537739117946e-92,154604691.75000018,5e-324
4209,5e-324,185206049.11013284,4.044261584319084e-304,6.7404359738651415e-304,4.902135253720103e-304,5.836298910743317e-92,154604691.75000018,5e-324
4210,5e-324,185206049.11013284,3.412345711769227e-304,5.687242852948713e-304,4.1361766203263365e-304,5.52912528386209e-92,154604691.75000018,5e-324
4211,5e-324,185206049.11013284,2.8791666943052853e-304,4.798611157175477e-304,3.4898990234003466e-304,5.238118689974611e-92,154604691.75000018,5e-324
4212,5e-324,185206049.11013284,2.4292968983200844e-304,4.048828163866809e-304,2.9446023009940425e-304,4.9624282326075265e-92,154604691.75000018,5e-324
4213,5e-324,185206049.11013284,2.0497192579575714e-304,3.41619876326262e-304,2.4845081914637236e-304,4.7012477993123934e-92,154604691.75000018,5e-324
4214,5e-324,185206049.11013284,1.7294506239017009e-304,2.8824177065028353e-304,2.096303786547517e-304,4.4538137046117414e-92,154604691.75000018,5e-324
4215,5e-324,185206049.11013284,1.45922396391706e-304,2.4320399398617673e-304,1.7687563198994673e-304,4.219402457000597e-92,154604691.75000018,5e-324
4216,5e-324,185206049.11013284,1.2312202195550194e-304,2.052033699258366e-304,1.4923881449151754e-304,3.99732864347425e-92,154604691.75000018,5e-324
4217,5e-324,185206049.11013284,1.0388420602495476e-304,1.7314034337492463e-304,1.2592024972721793e-304,3.786942925396658e-92,154604691.75000018,5e-324
4218,5e-324,185206049.11013284,8.765229883355558e-305,1.4608716472259265e-304,1.0624521070734013e-304,3.5876301398494654e-92,154604691.75000018,5e-324
4219,5e-324,185206049.11013284,7.395662714081252e-305,1.2326104523468755e-304,8.964439653431823e-305,3.39880750091002e-92,154604691.75000018,5e-324
4220,5e-324,185206049.11013284,6.240090415006057e-305,1.0400150691676762e-304,7.563745957583101e-305,3.2199228955989666e-92,154604691.75000018,5e-324
4221,5e-324,185206049.11013284,5.265076287661361e-305,8.775127146102268e-305,6.381910651710741e-305,3.0504532695148104e-92,154604691.75000018,5e-324
4222,5e-324,185206049.11013284,4.4424081177142735e-305,7.404013529523789e-305,5.384737112380937e-305,2.8899030974350837e-92,154604691.75000018,5e-324
4223,5e-324,185206049.11013284,3.748281849321418e-305,6.247136415535697e-305,4.543371938571416e-305,2.7378029344121844e-92,154604691.75000018,5e-324
4224,5e-324,185206049.11013284,3.1626128103649467e-305,5.271021350608245e-305,3.833470073169632e-305,2.5937080431273325e-92,154604691.75000018,5e-324
4225,5e-324,185206049.11013284,2.668454558745424e-305,4.4474242645757064e-305,3.234490374236877e-305,2.457197093489052e-92,154604691.75000018,5e-324
4226,5e-324,185206049.11013284,2.2515085339414513e-305,3.7525142232357525e-305,2.729101253262365e-305,2.3278709306738387e-92,154604691.75000018,5e-324
4227,5e-324,185206049.11013284,1.8997103255130996e-305,3.166183875855166e-305,2.3026791824401207e-305,2.2053514080067947e-92,154604691.75000018,5e-324
4228,5e-324,185206049.11013284,1.6028805871516778e-305,2.6714676452527964e-305,1.9428855601838518e-305,2.089280281269595e-92,154604691.75000018,5e-324
4229,5e-324,185206049.11013284,1.3524304954092283e-305,2.254050825682047e-305,1.639309691405125e-305,1.979318161202774e-92,154604691.75000018,5e-324
4230,5e-324,185206049.11013284,1.1411132305015363e-305,1.9018553841692273e-305,1.3831675521230742e-305,1.87514352113947e-92,154604691.75000018,5e-324
4231,5e-324,185206049.11013284,9.628142882356713e-306,1.6046904803927856e-305,1.167047622103844e-305,1.776451756868972e-92,154604691.75000018,5e-324
4232,5e-324,185206049.11013284,8.123745556988477e-306,1.3539575928314128e-305,9.846964311501184e-306,1.6829542959811312e-92,154604691.75000018,5e-324
4233,5e-324,185206049.11013284,6.854410313709027e-306,1.1424017189515047e-305,8.308376137829124e-306,1.5943777540873876e-92,154604691.75000018,5e-324
4234,5e-324,185206049.11013284,5.783408702191991e-306,9.63901450365332e-306,7.010192366293323e-306,1.5104631354512094e-92,154604691.75000018,5e-324
4235,5e-324,185206049.11013284,4.879751092474493e-306,8.132918487457489e-306,5.914849809059992e-306,1.4309650756906195e-92,154604691.75000018,5e-324
4236,5e-324,185206049.11013284,4.117289984275353e-306,6.862149973792257e-306,4.9906545263943683e-306,1.3556511243384816e-92,154604691.75000018,5e-324
4237,5e-324,185206049.11013284,3.473963424232329e-306,5.789939040387216e-306,4.210864756645248e-306,1.284301065162772e-92,154604691.75000018,5e-324
4238,5e-324,185206049.11013284,2.931156639196028e-306,4.885261065326714e-306,3.5529171384194284e-306,1.2167062722594681e-92,154604691.75000018,5e-324
4239,5e-324,185206049.11013284,2.4731634143216484e-306,4.121939023869415e-306,2.9977738355413925e-306,1.1526691000352856e-92,154604691.75000018,5e-324
4240,5e-324,185206049.11013284,2.0867316308338908e-306,3.4778860513898185e-306,2.52937167373805e-306,1.0920023052965863e-92,154604691.75000018,5e-324
4241,5e-324,185206049.11013284,1.7606798135160953e-306,2.9344663558601593e-306,2.1341573497164795e-306,1.0345284997546608e-92,154604691.75000018,5e-324
4242,5e-324,185206049.11013284,1.4855735926542053e-306,2.4759559877570094e-306,1.8006952638232794e-306,9.800796313465209e-93,154604691.75000018,5e-324
4243,5e-324,185206049.11013284,1.2534527188019857e-306,2.0890878646699768e-306,1.519336628850892e-306,9.284964928545987e-93,154604691.75000018,5e-324
4244,5e-324,185206049.11013284,1.0576007314891754e-306,1.762667885815293e-306,1.2819402805929401e-306,8.796282563885672e-93,154604691.75000018,5e-324
4245,5e-324,185206049.11013284,8.923506171939917e-307,1.4872510286566534e-306,1.0816371117502934e-306,8.333320323681164e-93,154604691.75000018,5e-324
4246,5e-324,185206049.11013284,7.529208332574305e-307,1.2548680554290513e-306,9.1263131303931e-307,7.894724517171629e-93,154604691.75000018,5e-324
4247,5e-324,185206049.11013284,6.3527695306095696e-307,1.058794921768262e-306,7.700326703769179e-307,7.479212700478385e-93,154604691.75000018,5e-324
4248,5e-324,185206049.11013284,5.360149291451824e-307,8.93358215241971e-307,6.497150656305244e-307,7.085569926768996e-93,154604691.75000018,5e-324
4249,5e-324,185206049.11013284,4.522625964662476e-307,7.53770994110413e-307,5.48197086625755e-307,6.712645193781154e-93,154604691.75000018,5e-324
4250,5e-324,185206049.11013284,3.815965657683964e-307,6.35994276280661e-307,4.625412918404808e-307,6.359348078318988e-93,154604691.75000018,5e-324
4251,5e-324,185206049.11013284,3.2197210236708447e-307,5.366201706118077e-307,3.902692149904056e-307,6.024645547881147e-93,154604691.75000018,5e-324
4252,5e-324,185206049.11013284,2.716639613722275e-307,4.5277326895371276e-307,3.2928965014815475e-307,5.707558940097929e-93,154604691.75000018,5e-324
4253,5e-324,185206049.11013284,2.2921646740781698e-307,3.820274456796951e-307,2.7783814231250557e-307,5.407161101145406e-93,154604691.75000018,5e-324
4254,5e-324,185206049.11013284,1.934013943753456e-307,3.223356572922427e-307,2.3442593257617656e-307,5.1225736747693324e-93,154604691.75000018,5e-324
4255,5e-324,185206049.11013284,1.6318242650419783e-307,2.719707108403298e-307,1.9779688061114896e-307,4.852964533991999e-93,154604691.75000018,5e-324
4256,5e-324,185206049.11013284,1.3768517236291691e-307,2.2947528727152826e-307,1.6689111801565693e-307,4.59754534799242e-93,154604691.75000018,5e-324
4257,5e-324,185206049.11013284,1.1617186418121115e-307,1.9361977363535195e-307,1.4081438082571054e-307,4.3555692770454506e-93,154604691.75000018,5e-324
4258,5e-324,185206049.11013284,9.80200104028969e-308,1.633666840048282e-307,1.1881213382169327e-307,4.1263287887799e-93,154604691.75000018,5e-324
4259,5e-324,185206049.11013284,8.270438377744426e-308,1.378406396290738e-307,1.0024773791205368e-307,3.9091535893704315e-93,154604691.75000018,5e-324
4260,5e-324,185206049.11013284,6.97818238122186e-308,1.16303039687031e-307,8.458402886329529e-308,3.703408663614093e-93,154604691.75000018,5e-324
4261,5e-324,185206049.11013284,5.887841384155943e-308,9.81306897359324e-308,7.136777435340539e-308,3.5084924181607196e-93,154604691.75000018,5e-324
