time, S,E, I, J, Q, R
227,169773314.20955095,425688.1287283173,266471.62890550366,133340.03302256236,1276374.2803995162,34264400.719392926
228,169706966.79835784,425521.7698076102,266367.4917929273,133287.92373765708,1275866.7032055596,34331578.31309816
229,169640645.31573305,425355.47589996934,266263.39537713456,133235.8348170604,1275359.7859583062,34398729.19221424
230,169574349.75154367,425189.2469799876,266159.3396422211,133183.76625281383,1274853.504105873,34465853.39147521
231,169508080.09566078,425023.0830222678,266055.3245722889,133131.7180369622,1274347.8343846023,34532950.944322884
232,169441836.33795938,424856.9840014227,265951.350151446,133079.69016155333,1273842.7547512623,34600021.88297471
233,169375618.4683185,424690.9498920749,265847.4163638068,133027.68261863815,1273338.2443188145,34667066.23848793
234,169309426.47662106,424524.9806688571,265743.5231934918,132975.69540027078,1272834.2832955644,34734084.0408205
235,169243260.352754,424359.0763064117,265639.6706246278,132923.72849850834,1272330.8529275123,34801075.31888869
236,169177120.08660814,424193.2367793911,265535.8586413477,132871.7819054111,1271827.9354437394,34868040.100621715
237,169111005.6680783,424027.4620624577,265432.0872277906,132819.85561304248,1271325.5140046692,34934978.41301349
238,169044917.08706322,423861.7521302837,265328.35636810196,132767.9496134689,1270823.5726530498,35001890.28217163
239,168978854.3334656,423696.10695755115,265224.66604643327,132716.06389875995,1270322.0962675186,35068775.7333639
240,168912817.3971921,423530.52651895216,265121.01624694234,132664.1984609883,1269821.0705186082,35135634.79106218
241,168846806.26815328,423365.01078918856,265017.406953793,132612.35329222973,1269320.4818270702,35202467.478984214
242,168780820.93626368,423199.55974297214,264913.8381511555,132560.5283845631,1268820.317324392,35269273.82013301
243,168714861.3914418,423034.1733550246,264810.30982320604,132508.72373007043,1268320.5648153897,35336053.83683429
244,168648927.62361002,422868.85160007747,264706.8219541271,132456.93932083674,1267821.212742773,35402807.550771944
245,168583019.6226947,422703.5944528722,264603.37452810747,132405.17514895013,1267322.2501535716,35469534.983021565
246,168517137.37862614,422538.40188816,264499.96752934187,132353.43120650193,1266823.6666673324,35536236.154082276
247,168451280.88133857,422373.2738807021,264396.60094203136,132301.70748558643,1266325.452445987,35602911.083906874
248,168385450.12077013,422208.2104052695,264293.2747503832,132250.00397830107,1265827.5981653072,35669559.79193035
249,168319645.08686292,422043.21143664315,264189.98893861077,132198.32067674634,1265330.0949878625,35736182.297096945
250,168253865.769563,421878.2769496137,264086.74349093356,132146.65757302585,1264832.9345374007,35802778.61788578
251,168188112.15882024,421713.4069189818,263983.5383915773,132095.0146592463,1264336.1088745769,35869348.77233512
252,168122384.24458858,421548.60131955787,263880.3736247739,132043.39192751748,1263839.6104739592,35935892.77806536
253,168056682.0168258,421383.8601261622,263777.24917476135,131991.78936995222,1263343.4322022465,36002410.652300835
254,167991005.46549362,421219.1833136249,263674.1650257838,131940.20697866645,1262847.5672976307,36068902.411890425
255,167925354.5805577,421054.57085678587,263571.12116209173,131888.64474577917,1262352.0093502465,36135368.07332714
256,167859729.35198763,420890.022730495,263468.1175679416,131837.10266341252,1261856.7522836495,36201807.65276662
257,167794129.76975688,420725.53890961193,263365.15422759607,131785.58072369167,1261361.790337269,36268221.16604471
258,167728555.82384285,420561.1193690061,263262.2311253239,131734.07891874487,1260867.1180497848,36334608.62869404
259,167663007.5042269,420396.76408355666,263159.3482454001,131682.5972407034,1260372.730243379,36400970.05595982
260,167597484.80089423,420232.47302815283,263056.5055721058,131631.13568170174,1259878.622008816,36467305.46281473
261,167531987.70383403,420068.2461776934,262953.70308972825,131579.69423387732,1259384.7886913083,36533614.86397309
262,167466516.20303938,419904.08350708714,262850.9407825608,131528.27288937074,1258891.2258771255,36599898.27390421
263,167401070.28850722,419739.98499125254,262748.21863490297,131476.87164032558,1258397.9293809095,36666155.70684511
264,167335649.95023847,419575.95060511795,262645.5366310604,131425.49047888853,1257904.895233656,36732387.17681253
265,167270255.17823792,419411.9803236215,262542.89475534495,131374.12939720938,1257412.119671329,36798592.6976143
266,167204885.96251425,419248.074121711,262440.29299207457,131322.78838744093,1256919.5991240742,36864772.28286016
267,167139542.2930801,419084.23197434423,262337.7313255733,131271.4674417391,1256427.3302060014,36930925.94597195
268,167074224.15995196,418920.45385648863,262235.20974017127,131220.16655226288,1255935.3097055024,36997053.700193316
269,167008931.55315024,418756.7397431215,262132.7282202048,131168.88571117425,1255443.534576081,37063155.55859887
270,166943664.46269926,418593.0896092299,262030.28675001633,131117.62491063832,1254952.0019276638,37129231.53410287
271,166878422.87862724,418429.5034298106,261927.8853139544,131066.38414282324,1254460.7090183692,37195281.639467485
272,166813206.79096627,418265.9811798702,261825.5238963737,131015.16339990022,1253969.6532467087,37261305.88731056
