time, Susceptible, Socially_distanced, Border_closed, Exposed, Infectious, Hospitalized, Isolation_treated, Recovered, R0SD, R0BC
38,2.222589952807873e-19,165123723.010644,20383838.273799036,26905.593412722697,44366.60563257559,32136.790473354864,5107594.26161591,149393688.49886551,1.3234889800848443e-22,6.115616730679605e-40
39,4.1982639619198083e-20,165123723.010644,20383838.273799036,22701.594441984776,37478.95319516962,27160.04664482133,4854841.906241223,149662509.24947688,3.3087224502121107e-23,5.198274221077666e-41
40,7.93012686469127e-21,165123723.010644,20383838.273799036,19154.470310424655,31656.339027937334,22949.76162120307,4612903.934498306,149918027.2445422,8.271806125530277e-24,4.41853308791602e-42
41,1.497926587287304e-21,165123723.010644,20383838.273799036,16161.584324420803,26735.140256956853,19388.965567585867,4381594.397703734,150160811.66214737,2.0679515313825692e-24,3.7557531247286185e-43
42,2.8294428313531705e-22,165123723.010644,20383838.273799036,13636.336773730052,22576.602743408388,16378.267848032147,4160678.649029436,150391421.89360547,5.169878828456423e-25,3.192390156019327e-44
43,5.344552132153546e-23,165123723.010644,20383838.273799036,11505.65915283473,19063.129678451613,13833.28460986817,3949884.696162429,150610404.98039648,1.2924697071141057e-25,2.7135316326164307e-45
44,1.009535770674902e-23,165123723.010644,20383838.273799036,9707.899910204304,16095.106501469136,11682.424724546989,3748912.670248288,150818293.64861557,3.2311742677852644e-26,2.3065018877239666e-46
45,1.906918385435424e-24,165123723.010644,20383838.273799036,8191.040549234881,13588.189237071274,9864.988987640778,3557442.6894395994,151015604.84178653,8.077935669463161e-27,1.9605266045653734e-47
46,3.601989978305227e-25,165123723.010644,20383838.273799036,6911.1904634169305,11470.992013621406,8329.541803088207,3375141.3581734407,151202838.6675465,2.0194839173657902e-27,1.666447613880568e-48
47,6.803821234776521e-26,165123723.010644,20383838.273799036,5831.316953508035,9683.11752012495,7032.518904949455,3201667.110223751,151380477.68639773,5.048709793414476e-28,1.4164804717984825e-49
48,1.2851780175295415e-26,165123723.010644,20383838.273799036,4920.173679522404,8173.481414079342,5937.038832505965,3036674.5744012916,151548986.48167267,1.262177448353619e-28,1.2040084010287112e-50
49,2.4275807369818622e-27,165123723.010644,20383838.273799036,4151.396542097029,6898.888197984883,5011.889769772818,2879818.116217477,151708811.45927274,3.155443620884047e-29,1.0234071408744047e-51
50,4.585472326933837e-28,165123723.010644,20383838.273799036,3502.740832394368,5822.8218581913225,4230.66693438263,2730754.686564601,151860380.8338105,7.888609052210118e-30,8.698960697432436e-53
51,8.661527149543005e-29,165123723.010644,20383838.273799036,2955.4375773327483,4914.419648705112,3571.0389317391455,2589146.089159971,152004104.76468232,1.9721522630525295e-30,7.394116592817568e-54
52,1.636081241219385e-29,165123723.010644,20383838.273799036,2493.6504558745064,4147.601857987076,3014.124378045851,2454660.7618279476,152140375.6114802,4.930380657631324e-31,6.28499910389493e-55
53,3.090404014967722e-30,165123723.010644,20383838.273799036,2104.0175721441146,3500.334277220699,2543.9626535196944,2326975.152341815,152269568.28315535,1.232595164407831e-31,5.342249238310693e-56
