time, Susceptible, Socially_distanced, Exposed, Infectious, Hospitalized, Isolation_treated, Recovered, R0SD
34,1.4319631016454667e-12,185206049.11013284,54486.60692301759,89249.61712278526,64482.97811440985,6336147.976612726,148060324.5712271,3.3881317890172014e-20
35,3.5542312237380627e-13,185206049.11013284,45973.07459129609,75450.74517381044,54553.893337901245,6034907.99321663,148393806.0436804,8.470329472543003e-21
36,8.821847139272309e-14,185206049.11013284,38789.78168640608,63771.35178524785,46139.63296240324,5744558.2034004945,148711432.7801655,2.117582368135751e-21
37,2.1896433307126476e-14,185206049.11013284,32728.878297905132,53889.41722743683,39012.65442751358,5465282.85128167,149013777.94876552,5.293955920339377e-22
38,5.43484583221861e-15,185206049.11013284,27614.991063857455,45530.9501546253,32978.681520615995,5197142.712638496,149301424.41462246,1.3234889800848443e-22
39,1.3489662359929015e-15,185206049.11013284,23300.148710129728,38463.05496969671,27872.078298964323,4940098.226417831,149574958.24160343,3.3087224502121107e-23
40,3.3482272764046643e-16,185206049.11013284,19659.500474171957,32487.9394632303,23551.802891906336,4694029.095755848,149834963.4114149,8.271806125530277e-24
41,8.310531127718448e-17,185206049.11013284,16587.703525082587,27437.751546512096,19897.886311760743,4458750.834267283,150082017.5743494,2.0679515313825692e-24
42,2.0627311685645e-17,185206049.11013284,13995.874849288433,23170.142335678225,16808.381042508394,4234028.68088278,150316688.6708898,5.169878828456423e-25
43,5.119841088827719e-18,185206049.11013284,11809.019404087116,19564.462196959987,14196.726105173753,4019589.25662073,150539532.2856731,1.2924697071141057e-25
44,1.2707798851505527e-18,185206049.11013284,9963.860122198505,16518.505929608604,11989.478601826873,3815130.290377489,150751089.61496893,3.2311742677852644e-26
45,3.154163358755748e-19,185206049.11013284,8407.006978104988,13945.73259129997,10124.365783315588,3620328.698605903,150951885.94604144,8.077935669463161e-27
46,7.828851093703523e-20,185206049.11013284,7093.412137776084,11772.894283803882,8548.616039482786,3434847.265781461,151142429.56175753,2.0194839173657902e-27
47,1.9431748605297613e-20,185206049.11013284,5985.066491248571,9938.016359380425,7217.531590692363,3258340.1387600726,151323210.99679866,5.048709793414476e-28
48,4.823094082900245e-21,185206049.11013284,5049.899851990982,8388.678908792908,6093.269885191288,3090457.318304889,151494702.5830492,1.262177448353619e-28
49,1.197125230725013e-21,185206049.11013284,4260.853000117391,7080.556033468272,5143.804669793872,2930848.3049156484,151657358.23138106,3.155443620884047e-29
50,2.9713474243004017e-22,185206049.11013284,3595.094718849049,5976.175306369547,4342.041343264003,2779165.0333076166,151811613.40532398,7.888609052210118e-30
51,7.375089330085873e-23,185206049.11013284,3033.3611690288853,5043.865029597324,3665.0644982243884,2635064.210120953,151957885.24918228,1.9721522630525295e-30
52,1.8305480598436908e-23,185206049.11013284,2559.398486368122,4256.861454858757,3093.498506511525,2498209.1523636994,152096572.83918864,4.930380657631324e-31
53,4.543546592348168e-24,185206049.11013284,2159.492472873103,3592.552104639087,2610.964616970452,2368271.2093872866,152228057.5314183,1.232595164407831e-31
54,1.1277396146923022e-24,185206049.11013284,1822.0717739866807,3031.8347773657374,2203.6203346449975,2244930.838570125,152352703.38454393,3.0814879110195774e-32
55,2.799127537699708e-25,185206049.11013284,1537.373059301262,2558.5747977097217,1859.768861663933,2127878.394075862,152470857.63920552,7.703719777548943e-33
56,6.947627688370777e-26,185206049.11013284,1297.1585187854398,2159.1456387981134,1569.528130259397,2016814.6788184908,152582851.23889372,1.925929944387236e-33
57,1.7244491308846766e-26,185206049.11013284,1094.477500225215,1822.0402476588101,1324.550474829227,1911451.3018931737,152688999.37988415,4.81482486096809e-34
58,4.280201729845798e-27,185206049.11013284,923.4653908150251,1537.5422951542973,1117.7852993293159,1811510.8770309477,152789602.0799838,1.2037062152420224e-34
59,1.062375602739663e-27,185206049.11013284,779.1739235001775,1297.4481886805706,943.2782234532323,1716727.0919421415,152884944.75772226,3.009265538105056e-35
60,2.6368895499164326e-28,185206049.11013284,657.4279979532747,1094.8320670573307,796.0011588967589,1626844.673583229,152975298.8151929,7.52316384526264e-36
61,6.54494180827153e-29,185206049.11013284,554.7048732730756,923.8471749731973,671.7085962127121,1541619.270289876,153060922.2190657,1.88079096131566e-36
62,1.6244997169114707e-29,185206049.11013284,468.0322368241575,779.558017678816,566.8160918496553,1460817.2682569362,153142060.07539675,4.70197740328915e-37
63,4.0321203878547374e-30,185206049.11013284,394.90219982038286,657.7985502628866,478.29755034453166,1384215.556920917,153218945.19477868,1.1754943508222875e-37
64,1.000800101896222e-30,185206049.11013284,333.19873109844804,555.0523814190998,403.5984127379875,1311601.2553318306,153291798.64514294,2.938735877055719e-38
65,2.484054908113454e-31,185206049.11013284,281.1364293643155,468.35158779845733,340.56230172376866,1242771.4095207348,153360830.29016042,7.346839692639297e-39
66,6.165595681726253e-32,185206049.11013284,237.20886227614122,395.1912579370173,287.36904781149866,1177532.6691178738,153426239.31171414,1.8367099231598242e-39
67,1.5303433908146598e-32,185206049.11013284,200.14497754549416,333.4573281834101,242.48233839000366,1115700.9500039967,153488214.71535194,4.5917748078995606e-40
68,3.7984178896959514e-33,185206049.11013284,168.8723248040107,281.36564887904103,204.60550124085435,1057101.0885414025,153546935.81798372,1.1479437019748901e-40
69,9.42793529305974e-34,185206049.11013284,142.48602405338403,237.41053740990745,172.64416284018745,1001566.491895107,153602572.71738064,2.8698592549372254e-41
70,2.3400785924909495e-34,185206049.11013284,120.22258279504277,200.32134431577185,145.67471577257058,948938.788087311,153655286.74326986,7.174648137343063e-42
71,5.808236531985418e-35,185206049.11013284,101.43780423331734,169.02578679855432,122.91769396522825,899067.4787037598,153705230.8900113,1.793662034335766e-42
72,1.4416443840708511e-35,185206049.11013284,85.5881473218615,142.61899701037157,103.7152936822527,851809.596566334,153752550.2309957,4.484155085839415e-43
73,3.578260834726354e-36,185206049.11013284,72.21499930282064,120.33739577681953,87.51239609371925,807029.3701833681,153797382.3150255,1.1210387714598537e-43
74,8.881490291788407e-37,185206049.11013284,60.93140566175492,101.53664047368038,73.84054699106451,764597.896371764,153839857.54503515,2.802596928649634e-44
75,2.2044471727048962e-37,185206049.11013284,51.410873527105714,85.6730124899095,62.304433613952355,724392.8220993773,153880099.53958103,7.006492321624085e-45
76,5.471589989508468e-38,185206049.11013284,43.37792453849545,72.28770835604239,52.57046992945355,686298.0363109539,153918225.47758627,1.7516230804060213e-45
77,1.3580863893669293e-38,185206049.11013284,36.60012382935554,60.993581976171704,44.35716205373737,650203.3722663948,153954346.4268658,4.379057701015053e-46
78,3.370864126369584e-39,185206049.11013284,30.881354481018736,51.46395583046558,37.42697652091161,616004.3207281377,153988567.65698507,1.0947644252537633e-46
79,8.366717351274029e-40,185206049.11013284,26.05614284335956,43.423178510508365,31.5794772180722,583601.7541780751,154020988.9370234,2.7369110631344083e-47
80,2.0766769769359376e-40,185206049.11013284,21.984870524084627,36.638656202156206,26.64553323666319,552901.662117838,154051704.81882223,6.842277657836021e-48
81,5.154455547466405e-41,185206049.11013284,18.549734504696403,30.914128171005377,22.48243066887065,523814.8974045702,154080804.90630212,1.7105694144590052e-48
82,1.2793714326244392e-41,185206049.11013284,15.65133848833759,26.083992144612846,18.969747377186668,496256.9334933483,154108374.11142868,4.276423536147513e-49
83,3.1754881724027096e-42,185206049.11013284,13.205816849534841,22.008515747262383,16.005871724746545,470147.63239370275,154134492.89740202,1.0691058840368783e-49
84,7.881780752587421e-43,185206049.11013284,11.142407966795023,18.569795693186606,13.505064799188869,445411.0230983176,154159237.50963327,2.6727647100921956e-50
85,1.956312367079391e-43,185206049.11013284,9.401406721983301,15.668348014701676,11.394981322891086,421975.09020448994,154182680.1950595,6.681911775230489e-51
86,4.855702280644376e-44,185206049.11013284,7.9324369216734105,13.220230811336148,9.614577665120962,399771.57242123084,154204889.41033342,1.6704779438076223e-51
87,1.2052188104016705e-44,185206049.11013284,6.69299365266194,11.15461637751358,8.112346535394519,378735.7706352618,154225930.01940823,4.176194859519056e-52
88,2.991436247514864e-45,185206049.11013284,5.647213394433512,9.411742541363614,6.844827362075654,358806.3651961473,154245863.4810206,1.044048714879764e-52
89,7.424951175432971e-46,185206049.11013284,4.7648363015532755,7.941183998902947,5.775349316378731,339925.242073189,154264748.02655724,2.61012178719941e-53
90,1.8429241139055743e-46,185206049.11013284,4.020330629435576,6.7003936712949095,4.872970657915102,322037.32753346884,154282638.82877162,6.525304467998525e-54
91,4.574264812477495e-47,185206049.11013284,3.392153968586267,5.653471914320491,4.111583746781278,305090.4309907205,154299588.1617997,1.631326116999631e-54
92,1.1353640888841205e-47,185206049.11013284,2.862129910994663,4.770127993331973,3.469159851970762,289035.09567781916,154315645.5529045,4.078315292499078e-55
93,2.818052008732521e-48,185206049.11013284,2.4149221124017473,4.024803793591896,2.927111924318374,273824.4568010178,154330857.9263612,1.0195788231247695e-55
94,6.994599531262719e-49,185206049.11013284,2.0375905323389745,3.3959344252566948,2.4697569105571606,259414.10684113693,154345269.73987705,2.5489470578119236e-56
95,1.7361078663961726e-49,185206049.11013284,1.7192170116610097,2.8653243396204857,2.083862061592754,245761.96767532185,154358923.1139213,6.372367644529809e-57
96,4.309139515838082e-50,185206049.11013284,1.450589353588977,2.417620912787397,1.7582621157014984,232828.16920238835,154371857.9543253,1.5930919111324523e-57
97,1.069558160893671e-50,185206049.11013284,1.2239347670906993,2.0398702710888257,1.4835362860475985,220574.93416489946,154384112.06849384,3.982729777831131e-58
98,2.654717154851193e-51,185206049.11013284,1.0326949597327775,1.721142510674541,1.2517357107960057,208966.46887173198,154395721.27555516,9.956824444577827e-59
99,6.589191153824345e-52,185206049.11013284,0.871336372274531,1.4522154704641523,1.0561534830666381,197968.85953581202,154406719.51075894,2.4892061111444567e-59
100,1.6354827097981637e-52,185206049.11013284,0.7351900641066356,1.2253079110160097,0.8911306091493572,187549.973952774,154417138.92441872,6.223015277861142e-60
101,4.059380934026018e-53,185206049.11013284,0.6203166165899737,1.033854380778669,0.751892282328681,177679.36825740625,154427009.9756794,1.5557538194652854e-60
102,1.0075663575537024e-53,185206049.11013284,0.5233921452477903,0.8723152569261852,0.6344097363590078,168328.1985057892,154436361.52137715,3.8893845486632136e-61
103,2.500849221526961e-54,185206049.11013284,0.4416121225528231,0.7360164653896061,0.5352836824110502,159469.1368419316,154445220.90024588,9.723461371658034e-62
104,6.207280326426202e-55,185206049.11013284,0.37261022840394453,0.6210142431910832,0.4516459575529266,151076.29201840798,154453614.01271123,2.4308653429145085e-62
105,1.540689807253236e-55,185206049.11013284,0.3143898802158282,0.5239810305814288,0.3810765395742341,143125.13405094424,154461565.39650166,6.077163357286271e-63
106,3.824098409199233e-56,185206049.11013284,0.265266461432105,0.44210919171979474,0.3215335274324742,135592.42279705906,154469098.29829383,1.5192908393215678e-63
107,9.491676114422732e-57,185206049.11013284,0.2238185768333386,0.37302977838861245,0.2712940616461858,128456.1402587144,154476234.74159893,3.7982270983039195e-64
108,2.355899504164912e-57,185206049.11013284,0.18884692420312946,0.3147439864216685,0.228904475420246,121695.42641844446,154482995.59108624,9.495567745759799e-65
109,5.8475051264030986e-58,185206049.11013284,0.15933959229639047,0.26556532172299036,0.1931382343155401,115290.51842760615,154489400.61352932,2.3738919364399497e-65
110,1.4513911201586212e-58,185206049.11013284,0.13444278100007945,0.22407080258855377,0.16296044758851763,109222.69297421772,154495468.53555182,5.934729841099874e-66
111,3.6024529062209896e-59,185206049.11013284,0.11343609646881703,0.18905978647267774,0.13749792444139725,103474.21166632479,154501217.09833995,1.4836824602749686e-66
112,8.941536682491027e-60,185206049.11013284,0.09571170639556437,0.15951922992776096,0.11601390883886806,98028.26927495413,154506663.1094803,3.7092061506874214e-67
113,2.219351101197382e-60,185206049.11013284,0.08075675227125743,0.13459437657012766,0.09788676190137427,92868.94468848991,154511822.4920737,9.273015376718553e-68
114,5.508582568397886e-61,185206049.11013284,0.06813850972887346,0.11356402496997972,0.08259197509321906,87981.15443773981,154516710.33126783,2.3182538441796384e-68
115,1.3672682026960774e-61,185206049.11013284,0.057491867583736984,0.09581966087262127,0.06968699378910445,83350.60865805684,154521340.9183435,5.795634610449096e-69
116,3.39365402059765e-62,185206049.11013284,0.04850876327377808,0.08084784996442486,0.058798412112707546,78963.769361656,154525727.79248342,1.448908652612274e-69
117,8.423283441250787e-63,185206049.11013284,0.040929269012250254,0.06821538173484647,0.04961116854745999,74807.81089972227,154529883.78034455,3.622271631530685e-70
118,2.0907170707741904e-63,185206049.11013284,0.03453407072908615,0.057556734584298955,0.04185942970744161,70870.58250005801,154533821.0335498,9.055679078826712e-71
119,5.189304029139423e-64,185206049.11013284,0.02913812217766644,0.048563499489643926,0.03531889849979554,67140.57277187507,154537551.06420767,2.263919769706678e-71
120,1.288021066230206e-64,185206049.11013284,0.024585290587406057,0.04097545620749332,0.02980032412230875,63606.876074909844,154541084.7785641,5.659799424266695e-72
121,3.196957159836941e-65,185206049.11013284,0.02074383893312386,0.034573043809902185,0.025144026113027705,60259.16065533981,154544432.50888383,1.4149498560666738e-72
122,7.935068260759316e-66,185206049.11013284,0.017502614099823257,0.02917100769072724,0.0212152740089894,57087.638456019195,154547604.04365516,3.5373746401666845e-73
123,1.9695386942914616e-66,185206049.11013284,0.014767830646725873,0.024613039221142816,0.01790038892717651,54083.0365133394,154550608.65620548,8.843436600416711e-74
124,4.888530937401313e-67,185206049.11013284,0.012460357108174955,0.020767252954408028,0.015103454268873958,51236.56985756863,154553455.13181144,2.210859150104178e-74
125,1.2133671095264739e-67,185206049.11013284,0.010513426310022618,0.017522370513958357,0.012743540373038986,48539.91583784479,154556151.79338288,5.527147875260445e-75
126,3.0116608881752655e-68,185206049.11013284,0.008870703449081583,0.014784500746409801,0.010752362815009082,45985.18979709683,154558706.5257954,1.3817869688151111e-75
127,7.475150129052292e-69,185206049.11013284,0.007484656035162586,0.012474422973726348,0.009072306594106992,43564.92202606261,154561126.79894263,3.454467422037778e-76
128,1.8553838405666692e-69,185206049.11013284,0.006315178529668432,0.010525294735788915,0.007654759040485083,41272.03592926524,154563419.68957558,8.636168555094445e-77
129,4.605190713771472e-70,185206049.11013284,0.0053284318844077395,0.008880717697102379,0.006458703204189771,39099.827339315016,154565591.90199292,2.159042138773611e-77
130,1.1430401109740045e-70,185206049.11013284,0.00449586440246903,0.007493105754765493,0.00544953102637048,37041.94491922898,154567649.78764236,5.397605346934028e-78
131,2.837104425205136e-71,185206049.11013284,0.003793385589583244,0.006322308128959906,0.004598041951876613,35092.37159561402,154569599.36369073,1.349401336733507e-78
132,7.041888943564487e-72,185206049.11013284,0.0032006690912108624,0.005334447595092311,0.003879598008178283,33245.40696855005,154571446.33061683,3.3735033418337674e-79
133,1.7478454248264167e-72,185206049.11013284,0.0027005645457091653,0.004500940241820931,0.003273410902862219,31495.65064684642,154573196.08887833,8.433758354584419e-80
134,4.3382729457534786e-73,185206049.11013284,0.002278601335442108,0.003797668391632755,0.0027619405118863424,29837.98646003364,154574853.75470185,2.1084395886461046e-80
135,1.076789279219339e-73,185206049.11013284,0.0019225698767792786,0.0032042827523873956,0.00233038735385136,28267.567501002126,154576424.17504185,5.271098971615262e-81
136,2.672665289482666e-74,185206049.11013284,0.0016221683335325163,0.002703613607537309,0.001966264365022529,26779.801955616742,154577911.94175243,1.3177747429038154e-81
137,6.633739662400952e-75,185206049.11013284,0.0013687045314180607,0.0022811740077674377,0.0016590355843955917,25370.33967792699,154579321.40501326,3.2944368572595385e-82
138,1.6465399570115866e-75,185206049.11013284,0.0011548444483839887,0.0019247405888596501,0.0013998112941396553,24035.059471764413,154580656.68604895,8.236092143148846e-83
139,4.0868257845597905e-76,185206049.11013284,0.0009744000033239904,0.0016239998867047358,0.00118109079428474,22770.057041577194,154581921.68917903,2.0590230357872116e-83
140,1.0143783588256535e-76,185206049.11013284,0.0008221500028046169,0.0013702499155479253,0.000996545368818554,21571.63357730274,154583120.11323386,5.147557589468029e-84
141,2.5177570787120307e-77,185206049.11013284,0.0006936890648663955,0.0011561483745991653,0.0008408351632962583,20436.28493992791,154584255.4623695,1.2868893973670072e-84
142,6.249246794601693e-78,185206049.11013284,0.0005853001484810212,0.0009755001973347483,0.0007094546752979204,19360.69141613876,154585331.0563137,3.217223493417518e-85
143,1.5511061742230233e-78,185206049.11013284,0.0004938470002808617,0.0008230782962012208,0.0005986023869826473,18341.708012121955,154586350.04007244,8.043058733543795e-86
144,3.849952550747565e-79,185206049.11013284,0.00041668340648697705,0.0006944723159448002,0.0005050707675416288,17376.355258153573,154587315.3931257,2.0107646833859488e-86
145,9.555847877681458e-80,185206049.11013284,0.0003515766242233869,0.0005859610192221903,0.0004261534627570144,16461.810497101927,154588229.9381393,5.026911708464872e-87
146,2.371827378590894e-80,185206049.11013284,0.0002966427766884827,0.0004944046119515469,0.0003595669861840548,15595.399631383822,154589096.34921807,1.256727927116218e-87
147,5.887039209751723e-81,185206049.11013284,0.00025029234283090727,0.0004171538928212356,0.00030338464607991414,14774.589304252377,154589917.15972498,3.141819817790545e-88
148,1.4612037524309246e-81,185206049.11013284,0.000211184164263578,0.00035197359818325597,0.00025598079624526596,13996.979492562996,154590694.76968837,7.854549544476362e-89
149,3.626808536592473e-82,185206049.11013284,0.00017818663859739392,0.00029697772430362605,0.00021598379766844697,13260.296489365868,154591431.45281956,1.9636373861190906e-89
150,9.00198903761154e-83,185206049.11013284,0.00015034497631655113,0.00025057495550856234,0.00018223632991012998,12562.386255812195,154592129.3631611,4.9090934652977266e-90
151,2.2343557928595438e-83,185206049.11013284,0.00012685357376709,0.00021142261918088287,0.00015376190383220556,11901.208122940245,154592790.54138508,1.2272733663244316e-90
152,5.545825248427094e-84,185206049.11013284,0.0001070327028659822,0.00017838783528676997,0.0001297366067113235,11274.828824929606,154593416.92075998,3.068183415811079e-91
153,1.376512092853819e-84,185206049.11013284,9.030884304317248e-05,0.0001505147362878872,0.00010946526217735423,10681.416846380562,154594010.3328034,7.670458539527698e-92
154,3.416597993797586e-85,185206049.11013284,7.619808631767678e-05,0.00012699680894141108,9.236131516064891e-05,10119.237067093163,154594572.5126374,1.9176146348819244e-92
155,8.48023196586718e-86,185206049.11013284,6.429213533053978e-05,0.0001071535576931953,7.792985981567723e-05,9586.64568868997,154595105.104062,4.794036587204811e-93
156,2.1048520875287984e-86,185206049.11013284,5.4246489185142943e-05,9.041081441529331e-05,6.575331933113744e-05,9082.085428250166,154595609.6643614,1.1985091468012028e-93
157,5.224388116040517e-87,185206049.11013284,4.577047524996436e-05,7.628412474664856e-05,5.547936326939205e-05,8604.080964903133,154596087.6688576,2.996272867003007e-94
158,1.2967291786792569e-87,185206049.11013284,3.861883849215743e-05,6.436473031779335e-05,4.681071282135817e-05,8151.234626068965,154596540.5152242,7.490682167507517e-95
159,3.218571295795244e-88,185206049.11013284,3.258464497775783e-05,5.430774125274461e-05,3.949653899012742e-05,7722.222300733849,154596969.52757293,1.8726705418768793e-95
160,7.988716037583206e-89,185206049.11013284,2.749329419998317e-05,4.582215671733312e-05,3.3325204808249865e-05,7315.789567811916,154597375.9603256,4.681676354692198e-96
161,1.9828544426688112e-89,185206049.11013284,2.31974669812358e-05,3.866244475674721e-05,2.8118141583458212e-05,6930.748028273891,154597761.0018818,1.1704190886730496e-96
162,4.921581543660533e-90,185206049.11013284,1.9572862765417707e-05,3.26214377833785e-05,2.3724681980915908e-05,6565.971830318546,154598125.7780938,2.926047721682624e-97
163,1.2215704980491954e-90,185206049.11013284,1.651460295832119e-05,2.7524338144630395e-05,2.001770043630258e-05,6220.394377427279,154598471.35555857,7.31511930420656e-98
164,3.032022264522468e-91,185206049.11013284,1.3934196246083504e-05,2.3223660320710482e-05,1.688993475430889e-05,5893.0052096767995,154598798.74473634,1.82877982605164e-98
165,7.525688470081016e-92,185206049.11013284,1.1756978082632956e-05,1.959496340398341e-05,1.4250882457332065e-05,5582.847049191409,154599108.9029053,4.5719495651291e-99
166,1.867927805524552e-92,185206049.11013284,9.919950257221556e-06,1.6533250378398955e-05,1.2024182079661885e-05,5289.013001096249,154599402.7369605,1.142987391282275e-99
167,4.63632570033052e-93,185206049.11013284,8.369958029530689e-06,1.3949930011490085e-05,1.014540363443068e-05,5010.643901787485,154599681.1060658,2.8574684782056875e-100
168,1.150768029469367e-93,185206049.11013284,7.0621520874165186e-06,1.1770253450731733e-05,8.560184320087862e-06,4746.925806766109,154599944.8241659,7.143671195514219e-101
169,2.856285652137002e-94,185206049.11013284,5.9586908237576876e-06,9.931151351707631e-06,7.222655522726864e-06,4497.0876106900905,154600194.66236627,1.7859177988785547e-101
170,7.089498072314036e-95,185206049.11013284,5.027645382545549e-06,8.379408954992861e-06,6.094115599290339e-06,4260.39879268615,154600431.35118788,4.464794497196387e-102
171,1.759662339085043e-95,185206049.11013284,4.242075791522807e-06,7.070126307267388e-06,5.141910038393385e-06,4036.1672803286738,154600655.5827033,1.1161986242990967e-102
172,4.367603342310473e-96,185206049.11013284,3.5792514490973683e-06,5.96541907287598e-06,4.33848659601354e-06,3823.737426040225,154600868.01256016,2.7904965607477417e-103
173,1.0840692860245212e-96,185206049.11013284,3.0199934101759045e-06,5.033322343578449e-06,3.660598066225765e-06,3622.488089996825,154601069.26189837,6.976241401869354e-104
174,2.6907347686935975e-97,185206049.11013284,2.5481194398359196e-06,4.246865728023822e-06,3.088629619007495e-06,3431.8308239325543,154601259.91916627,1.7440603504673385e-104
175,6.67858935659655e-98,185206049.11013284,2.149975777361557e-06,3.5832929584922288e-06,2.606031241509703e-06,3251.2081505330507,154601440.5418412,4.360150876168346e-105
176,1.657671960573824e-98,185206049.11013284,1.8140420621488138e-06,3.023403434081915e-06,2.1988388603779088e-06,3080.0919333869583,154601611.65805966,1.0900377190420866e-105
