time, Susceptible, Socially_distanced, Exposed, Infectious, Hospitalized, Isolation_treated, Recovered, R0SD
124,3.9060468509115596e-08,185206049.11013278,0.010829124890364953,0.018048528306658852,0.013126198853588223,48699.26697993231,154555992.44101623,8.045196745404475e-16
125,2.9272004939808797e-08,185206049.11013278,0.00913707414959187,0.015228446994113663,0.011075231503458825,46136.15422829846,154558555.56033096,6.033897559053356e-16
126,2.1936507827504075e-08,185206049.11013278,0.007709406331214018,0.012849003081458976,0.009344727500257829,43707.94112231956,154560983.77897456,4.525423169290017e-16
127,1.6439269419899556e-08,185206049.11013278,0.006504811605073279,0.010841347050346423,0.007884614520493658,41407.52784087702,154563284.19692838,3.394067376967513e-16
128,1.2319626313592393e-08,185206049.11013278,0.00548843480160633,0.009147387101052517,0.006652644022833435,39228.1882126118,154565463.54049897,2.5455505327256347e-16
129,9.23235629454666e-09,185206049.11013278,0.004630866871218782,0.007718108263540377,0.005613168786679846,37163.55005405951,154567528.18198386,1.909162899544226e-16
130,6.918749041552745e-09,185206049.11013278,0.003907293928109026,0.006512154146283217,0.004736111459225017,35207.57654200919,154569484.1583025,1.4318721746581695e-16
131,5.184926444862423e-09,185206049.11013278,0.003296779255977327,0.005494630285979449,0.003996094266183313,33354.54856574865,154571337.1886468,1.0739041309936272e-16
132,3.885595803110723e-09,185206049.11013278,0.0027816575003299002,0.004636094473231044,0.0033717047045865186,31599.04800770375,154573092.69120288,8.054280982452204e-17
133,2.911874431721523e-09,185206049.11013278,0.002347023518225774,0.00391170483934983,0.0028448759706010203,29935.941903676958,154574755.79899275,6.040710736839153e-17
134,2.1821653964433024e-09,185206049.11013278,0.001980301095243424,0.00330050105423515,0.0024003641951379677,28360.367436447734,154576331.37488243,4.530533052629365e-17
135,1.6353197670750225e-09,185206049.11013278,0.0016708790504159194,0.0027847978368081474,0.0020253073611277714,26867.717718922057,154577824.02580014,3.397899789472024e-17
136,1.225512394681486e-09,185206049.11013278,0.0014098041997658627,0.002349673229233598,0.0017088531397659226,25453.62832531668,154579238.1162064,2.548424842104018e-17
137,9.184018072528135e-10,185206049.11013278,0.0011895222942849353,0.0019825368281386146,0.0014418448771913606,24113.964531042373,154580577.78085512,1.9113186315780134e-17
138,6.882524266794151e-10,185206049.11013278,0.001003659436351843,0.0016727654795859821,0.001216556645630334,22844.809224015215,154581846.93688306,1.43348897368351e-17
139,5.157779515341351e-10,185206049.11013278,0.000846837649833236,0.001411395896619462,0.0010264696927116627,21642.451452082212,154583049.29526326,1.0751167302626325e-17
140,3.865251831689694e-10,185206049.11013278,0.0007145192673550733,0.0011908653052510397,0.0008660838205106968,20503.375573102207,154584188.37165546,8.063375476969744e-18
141,2.89662861274747e-10,185206049.11013278,0.0006028756320618692,0.00100479261446251,0.0007307582365681084,19424.25097598084,154585267.49668562,6.047531607727308e-18
142,2.1707401446387633e-10,185206049.11013278,0.0005086763147253337,0.0008477937783565495,0.0006165772718996817,18401.922342624126,154586289.82568437,4.535648705795481e-18
143,1.626757657094622e-10,185206049.11013278,0.00042919564067924544,0.0007153260079432455,0.0005202370805389783,17433.400422353596,154587258.34791294,3.4017365293466107e-18
144,1.219095929769321e-10,185206049.11013278,0.00036213382192034466,0.0006035563248135662,0.0004389500422553005,16515.853291821946,154588175.89530358,2.551302397009958e-18
145,9.135932936897676e-11,185206049.11013278,0.00030555041231815615,0.0005092506532852286,0.00037036410233104184,15646.598074885285,154589045.15074,1.9134767977574682e-18
146,6.846489155556874e-11,185206049.11013278,0.0002578081604480497,0.00042968024188863336,0.00031249471448682807,14823.09309823127,154589868.65590182,1.4351075983181012e-18
147,5.1307747200993787e-11,185206049.11013278,0.0002175256354189634,0.0003625427064864828,0.0002636674177155724,14042.930459834875,154590648.81869647,1.076330698738576e-18
148,3.845014376024331e-11,185206049.11013278,0.000183537254915417,0.0003058954103990751,0.0002224693854794069,13303.82898851938,154591387.92029962,8.07248024053932e-19
149,2.8814626169256983e-11,185206049.11013278,0.00015485955885786475,0.00025809925387984024,0.00018770854533947223,12603.627574042528,154592088.12182534,6.05436018040449e-19
150,2.159374712488137e-11,185206049.11013278,0.00013066275280354588,0.00021777124648142155,0.00015837908613969617,11940.278848210351,154592751.470645,4.540770135303368e-19
151,1.6182403761004487e-11,185206049.11013278,0.00011024669769089842,0.0001837444899866202,0.0001336323546902035,11311.843198546718,154593379.90637386,3.4055776014775257e-19
152,1.2127130598025412e-11,185206049.11013278,9.302065118636777e-05,0.00015503441400416802,0.00011275229984175679,10716.48309701833,154593975.2665422,2.5541832011081443e-19
153,9.088099562560619e-12,185206049.11013278,7.848617444574619e-05,0.00013081028725099597,9.513475342192039e-05,10152.45772723562,154594539.29196835,1.915637400831108e-19
154,6.810642714811922e-12,185206049.11013278,6.62227096940303e-05,0.00011037118019539482,8.026994852370919e-05,9618.117894422176,154595073.63184872,1.436728050623331e-19
155,5.1039113149582985e-12,185206049.11013278,5.587541130840879e-05,9.312568353623835e-05,6.77277693107033e-05,9111.901203271773,154595579.84858,1.0775460379674982e-19
156,3.824882878425773e-12,185206049.11013278,4.714487829452052e-05,7.857479566911764e-05,5.714530553941124e-05,8632.327489595038,154596059.42232755,8.081595284756237e-20
157,2.8663760263228947e-12,185206049.11013278,3.977849106328782e-05,6.629748398535706e-05,4.821635168698503e-05,8177.994492399531,154596513.7553533,6.061196463567177e-20
158,2.1480687867912377e-12,185206049.11013278,3.356310183636233e-05,5.593850221765652e-05,4.068254683983178e-05,7747.573753749837,154596944.17611605,4.545897347675383e-20
159,1.6097676893795632e-12,185206049.11013278,2.8318867175714617e-05,4.7198111325174005e-05,3.4325898974330016e-05,7339.806734420066,154597351.9431557,3.409423010756537e-20
160,1.2063636088867303e-12,185206049.11013278,2.3894044180471366e-05,3.982340649008591e-05,2.896247731845851e-05,6953.501133981959,154597738.2487733,2.5570672580674027e-20
161,9.040516631360161e-13,185206049.11013278,2.016059977799376e-05,3.3600999270763083e-05,2.4437090281750734e-05,6587.5274045694105,154598104.2225172,1.9178004435505522e-20
162,6.774983956729557e-13,185206049.11013278,1.7010506063222586e-05,2.835084316838384e-05,2.0618794958566136e-05,6240.815448126407,154598450.93448585,1.4383503326629142e-20
163,5.077188559636231e-13,185206049.11013278,1.4352614491248998e-05,2.3921023948666408e-05,1.7397108271379028e-05,5912.351487481783,154598779.3984568,1.0787627494971855e-20
164,3.804856784125078e-13,185206049.11013278,1.2110018477294806e-05,2.0183363975757462e-05,1.4678810122856115e-05,5601.175102102348,154599090.5748509,8.090720621228891e-21
165,2.8513684251939373e-13,185206049.11013278,1.0217828090444908e-05,1.702971336889541e-05,1.2385246055367424e-05,5306.376419857419,154599385.37354046,6.068040465921668e-21
