time, Susceptible, Exposed, Infected, Hospitalized, Isolation_treated, Recovered
34,167580864.78996986,3300117.8845745064,2121262.273878334,1079078.8585788095,12666913.344591545,19391351.848406963
35,167080216.9564098,3285122.298669775,2106590.124873517,1069854.9977589883,12539773.124165606,20058031.49812231
36,166581064.80825254,3270974.0876598973,2093242.9528222901,1061575.0300978734,12414712.56387849,20718019.55728892
37,166083403.8771379,3257545.3175776927,2081021.9158135764,1054098.2532545093,12292094.154512769,21371425.481703576
38,165587229.70805496,3244728.0307891276,2069757.8927316968,1047304.6055806488,12172190.957218299,22018377.8056253
39,165092537.85930213,3232431.1247311407,2059307.1743595737,1041091.7759732485,12055201.630681343,22659019.43495258
40,164599323.90244746,3220577.718346565,2049547.744008921,1035372.6815765176,11941263.222316317,23293503.73130423
41,164107583.4222889,3209102.930013476,2040376.0764983417,1030073.2767904891,11830462.025087928,23921991.269320875
42,163617312.0168148,3197952.002672958,2031704.390188362,1025130.6575198299,11722842.767425913,24544647.165378135
43,163128505.29716456,3187078.7219055425,2023458.2930589211,1020491.4263070055,11618416.371584464,25161638.8899795
44,162641158.88758928,3176444.0811830806,2015574.7700919318,1016110.2864182331,11517166.486233521,25773134.488483947
45,162155268.4254126,3166015.155674897,2008000.4652538053,1011948.8357320995,11419054.972272452,26379301.14565413
46,161670829.56099167,3155764.152021615,2000690.2170145568,1007974.534179501,11324026.496861003,26980304.038931627
47,161187837.9576782,3145667.6065817,1993605.811514295,1004159.8213433897,11232012.369379122,27576305.43350326
48,160706289.29177964,3135705.7089518732,1986714.9221641119,1000481.3635502686,11142933.734294022,28167463.979260053
49,160226179.25252044,3125861.7311873347,1979990.208646814,996919.4123161623,11056704.219527366,28753934.175801843
50,159747503.54200354,3116121.5462062187,1973408.5519831316,993457.2583197847,10973232.12465769,29335865.9768296
51,159270257.8751718,3106473.2214432326,1966950.4055820704,990080.7671556752,10892422.220940862,29913404.50970632
52,158794437.97976974,3096906.675994803,1960599.245037058,986777.9849733552,10814177.224469181,30486689.889755838
53,158320039.59630516,3087413.3913351772,1954341.1019019815,983538.8037459421,10738398.994615376,31055857.11209632
54,157847058.4780112,3077986.1672330173,1948164.1688226075,980354.6773484664,10664989.502034906,31621036.00654976
55,157375490.39080814,3068618.915805917,1942058.4652471147,977218.380879885,10593851.603759933,32182351.243498966
56,156905331.1132656,3059306.4877537815,1936015.5545300106,974123.8067517212,10524889.65715988,32739922.380538963
57,156436576.4365647,3050044.5257431343,1930028.3046090363,971065.7920083632,10458009.99963259,33293863.941442113
58,155969222.16446048,3040829.3407000066,1924090.685604142,968039.9721564406,10393121.31670874,33844285.52037014
59,155503264.11324415,3031657.8074319563,1918197.5986874825,965042.6574792558,10330134.917697027,34391291.905460075
60,155038698.11170584,3022527.27655903,1912344.731426855,962070.7284114985,10268964.934978917,34934983.21691781
61,154575520.0010971,3013435.5002054027,1906528.4355324898,959121.547062463,10209528.460501567,35475455.05560091
62,154113725.63509384,3004380.569301586,1900745.6235564617,956192.882414354,10151745.630848505,36012798.6587852
63,153653310.87975898,2995360.860683056,1894993.6816207191,953282.8470962924,10095539.670432076,36547101.06040881
64,153194271.6135057,2986374.9924546084,1889270.3956972668,950389.843953326,10040836.900799587,37078445.253589444
65,152736603.72706035,2977421.786328924,1883573.8893439826,947512.5209009796,9987566.722734166,37606910.353631526
66,152280303.12342575,2968500.235849622,1877902.5711218813,944649.7327864855,9935661.576724963,38132571.76009122
67,151825365.71784452,2959609.4795793532,1872255.0901929145,941800.509173713,9885056.88644847,38655501.31676096
68,151371787.43776247,2950748.77847714,1866630.29882896,938964.0271350851,9835690.989116987,39175767.4686793
