time, Susceptible, Socially_distanced, Border_closed, Exposed, Infectious, Hospitalized, Isolation_treated, Recovered, R0SD, R0BC
56,3.764578641616105e-31,177928420.52962685,7583611.396777609,1065.9590508019164,1774.5865995444724,1290.0597582709281,1877600.1794879285,152722960.9651035,4.81482486096809e-34,7.215237321445355e-15
57,7.714348595629988e-32,177928420.52962685,7583611.396777609,899.402949114117,1497.4960513461538,1088.6765290215822,1779424.147288752,152821782.0271818,1.2037062152420224e-34,3.968380526794946e-15
58,1.5808189951731405e-32,177928420.52962685,7583611.396777609,758.8712383150362,1263.6537493086962,918.7122773473295,1686314.583064381,152915435.9296707,3.009265538105056e-35,2.18260928973722e-15
59,3.239403385161827e-33,177928420.52962685,7583611.396777609,640.2976073283118,1066.3139429682465,775.2695760008388,1598020.540094403,153004189.32877934,7.52316384526264e-36,1.2004351093554712e-15
60,6.638163081187276e-34,177928420.52962685,7583611.396777609,540.251106183263,899.7819583712335,654.2132737424811,1514301.8306669085,153088295.67299482,1.88079096131566e-36,6.602393101455092e-16
61,1.3602878015834523e-34,177928420.52962685,7583611.396777609,455.8368708421282,759.2507041195599,552.0521264640489,1434928.8409528898,153167995.7693457,4.70197740328915e-37,3.631316205800301e-16
62,2.787492383820418e-35,177928420.52962685,7583611.396777609,384.6123597730457,640.6625391587525,465.83873926191444,1359682.296439654,153243518.33992216,1.1754943508222875e-37,1.9972239131901656e-16
63,5.712110173164814e-36,177928420.52962685,7583611.396777609,324.5166785585073,540.5925855836027,393.0850044206453,1288352.989680882,153315080.56605056,2.938735877055719e-38,1.0984731522545911e-16
64,1.1705216781849697e-36,177928420.52962685,7583611.396777609,273.81094753374055,456.1501702124688,331.69064860622336,1220741.480094625,153382888.61813903,7.346839692639297e-39,6.041602337400251e-17
65,2.3986249521896683e-37,177928420.52962685,7583611.396777609,231.02798698159359,384.8955882114986,279.8828668562289,1156657.7738350003,153447138.16972294,1.8367099231598242e-39,3.322881285570138e-17
66,4.915245713508023e-38,177928420.52962685,7583611.396777609,194.9298640157196,324.76981412449794,236.1653304809891,1095920.9903297443,153508014.89466164,4.5917748078995606e-40,1.8275847070635758e-17
67,1.0072287625501447e-38,177928420.52962685,7583611.396777609,164.4720727632634,274.03515184582966,199.27511877161902,1038359.0208723666,153565694.94678426,1.1479437019748901e-40,1.0051715888849667e-17
68,2.0640062353754387e-39,177928420.52962685,7583611.396777609,138.7733113940035,231.22512525363214,168.14634734726692,983808.1836489963,153620345.42156702,2.8698592549372254e-41,5.528443738867317e-18
69,4.229547346208356e-40,177928420.52962685,7583611.396777609,117.08998148869047,195.10217384553715,141.8794549870415,932112.8787358806,153672124.7996538,7.174648137343063e-42,3.0406440563770246e-18
70,8.667159259121211e-41,177928420.52962685,7583611.396777609,98.79467188108258,164.62193999176074,119.71527095490504,883125.2458983278,153721183.37221885,1.793662034335766e-42,1.6723542310073635e-18
71,1.77606829937281e-41,177928420.52962685,7583611.396777609,83.35800439966343,138.9031224752397,101.0131204753927,836704.8274338932,153767663.64831877,4.484155085839415e-43,9.197948270540498e-19
72,3.6395069130838385e-42,177928420.52962685,7583611.396777609,70.33331621221602,117.20203004387719,85.23234085650628,792718.2378133998,153811700.7444995,1.1210387714598537e-43,5.058871548797274e-19
73,7.458052471891236e-43,177928420.52962685,7583611.396777609,59.34373555405727,98.89110319106663,71.91667793922244,751038.8414673333,153853422.757016,2.802596928649634e-44,2.782379351838501e-19
74,1.5282989702127723e-43,177928420.52962685,7583611.396777609,50.07127687373582,83.44078607362142,60.68111476737788,711546.4397290748,153892951.11709324,7.006492321624085e-45,1.5303086435111755e-19
75,3.131779712138613e-44,177928420.52962685,7583611.396777609,42.2476398622146,70.4042265667373,51.20075390209429,674126.9676691388,153930400.92971057,1.7516230804060213e-45,8.416697539311466e-20
76,6.417621392493329e-45,177928420.52962685,7583611.396777609,35.64644613374357,59.404363653524,43.20143359273147,638672.2013266615,153965881.29643,4.379057701015053e-46,4.629183646621306e-20
77,1.3150945507997826e-45,177928420.52962685,7583611.396777609,30.076688925346133,50.123029948540434,36.45180770974673,605079.4756578441,153999495.6228156,1.0947644252537633e-46,2.5460510056417186e-20
78,2.694882685921987e-46,177928420.52962685,7583611.396777609,25.3772062807608,42.29175510599066,30.756661342008474,573251.4133691809,154031341.91100812,2.7369110631344083e-47,1.4003280531029453e-20
79,5.522335018775217e-47,177928420.52962685,7583611.396777609,21.412017799391926,35.68400481086187,25.9512694475019,543095.6646804214,154061513.03802755,6.842277657836021e-48,7.701804292066199e-21
80,1.1316330843974222e-47,177928420.52962685,7583611.396777609,18.066390018236937,30.108631389301394,21.896635926466416,514524.65796354396,154090097.02037916,1.7105694144590052e-48,4.235992360636409e-21
81,2.3189347139370798e-48,177928420.52962685,7583611.396777609,15.243516577887416,25.404346982325567,18.475475810558557,487455.3611255312,154117177.26553515,4.276423536147513e-49,2.3297957983500252e-21
82,4.7519450267450104e-49,177928420.52962685,7583611.396777609,12.861717112592506,21.435059702039084,15.58882465086067,461809.0535410401,154142832.81085753,1.0691058840368783e-49,1.281387689092514e-21
83,9.737652984144915e-50,177928420.52962685,7583611.396777609,10.852073813749927,18.085938075371892,13.153177250940105,437511.1082933108,154167138.5505176,2.6727647100921956e-50,7.047632290008827e-22
84,1.9954331353992426e-50,177928420.52962685,7583611.396777609,9.1564372803515,15.260090089927346,11.098073144313027,414490.7844454462,154190165.45095408,6.681911775230489e-51,3.8761977595048547e-22
85,4.08902782254866e-51,177928420.52962685,7583611.396777609,7.725743955296579,12.87576089250043,9.36405909463835,392681.0290375212,154211980.75539857,1.6704779438076223e-51,2.1319087677276705e-22
86,8.379207620119875e-52,177928420.52962685,7583611.396777609,6.518596462281488,10.863968162390414,7.9009697704442825,372018.28848614637,154232648.1779795,4.176194859519056e-52,1.172549822250219e-22
87,1.7170614480513105e-52,177928420.52962685,7583611.396777609,5.500065765050006,9.166506819024292,6.666476925819745,352442.3290507081,154252228.08789983,1.044048714879764e-52,6.449024022376204e-23
88,3.5185904802080616e-53,177928420.52962685,7583611.396777609,4.640680489260943,7.734265390057282,5.624865167665945,333896.0660233443,154270777.68416566,2.61012178719941e-53,3.5469632123069126e-23
89,7.210271351360996e-54,177928420.52962685,7583611.396777609,3.91557416281392,6.5258053689899835,4.745998931347293,316325.4012968047,154288351.16132477,6.525304467998525e-54,1.950829766768802e-23
